id,stat_month,area_code,area_name,cpi_month,yoy,mom,acc
398,2008-05,701002,城市,107.3,0.073,-0.005,107.7
399,2008-05,701003,农村,108.5,0.085,-0.003,108.8
400,2008-04,701001,全国,108.5,0.085,0.001,108.2
401,2008-04,701002,城市,108.1,0.081,0.001,107.8
402,2008-04,701003,农村,109.3,0.093,0.001,108.8
403,2008-03,701001,全国,108.3,0.083,-0.007,108.0
404,2008-03,701002,城市,108,0.08,-0.008,107.8
405,2008-03,701003,农村,109,0.09,-0.005,108.7
406,2008-02,701001,全国,108.7,0.087,0.026,107.9
407,2008-02,701002,城市,108.5,0.085,0.027,107.6
408,2008-02,701003,农村,109.2,0.092,0.024,108.5
409,2008-01,701001,全国,107.1,0.071,0.012,107.1
410,2008-01,701002,城市,106.8,0.068,0.012,106.8
411,2008-01,701003,农村,107.7,0.077,0.012,107.7
2545,2019-06,701001,全国,102.7,0.027,-0.001,102.2
2546,2019-06,701002,城市,102.7,0.027,-0.001,102.2
2547,2019-06,701003,农村,102.7,0.027,-0.002,102.2
4345,2019-07,701001,全国,102.8,0.028,0.004,102.3
4346,2019-07,701002,城市,102.7,0.027,0.004,102.3
4347,2019-07,701003,农村,102.9,0.029,0.003,102.3
4528,2019-08,701001,全国,102.8,0.028,0.007,102.4
4529,2019-08,701002,城市,102.8,0.028,0.006,102.4
4530,2019-08,701003,农村,103.1,0.031,0.01,102.4
6688,2019-09,701001,全国,103,0.03,0.009,102.5
6689,2019-09,701002,城市,102.8,0.028,0.007,102.4
6690,2019-09,701003,农村,103.6,0.036,0.013,102.6
7111,2019-10,701001,全国,103.8,0.038,0.009,102.6
7112,2019-10,701002,城市,103.5,0.035,0.008,102.5
7113,2019-10,701003,农村,104.6,0.046,0.012,102.8
8971,2019-11,701001,全国,104.5,0.045,0.004,102.8
8972,2019-11,701002,城市,104.2,0.042,0.003,102.7
8973,2019-11,701003,农村,105.5,0.055,0.005,103.0
10771,2019-12,701001,全国,104.5,0.045,0.0,102.9
10772,2019-12,701002,城市,104.2,0.042,0.0,102.8
10773,2019-12,701003,农村,105.3,0.053,-0.001,103.2
12691,2020-01,701001,全国,105.4,0.054,0.014,105.4
12692,2020-01,701002,城市,105.1,0.051,0.014,105.1
12693,2020-01,701003,农村,106.3,0.063,0.014,106.3
14431,2020-02,701001,全国,105.2,0.052,0.008,105.3
14432,2020-02,701002,城市,104.8,0.048,0.008,105.0
14433,2020-02,701003,农村,106.3,0.063,0.009,106.3
16291,2020-03,701001,全国,104.3,0.043,-0.012,104.9
16292,2020-03,701002,城市,104,0.04,-0.012,104.6
16293,2020-03,701003,农村,105.3,0.053,-0.013,105.9
16834,2020-04,701001,全国,103.3,0.033,-0.009,104.5
16835,2020-04,701002,城市,103,0.03,-0.008,104.2
16836,2020-04,701003,农村,104,0.04,-0.01,105.5
18574,2020-05,701001,全国,102.4,0.024,-0.008,104.1
18575,2020-05,701002,城市,102.3,0.023,-0.007,103.8
18576,2020-05,701003,农村,103,0.03,-0.009,105.0
18877,2020-06,701001,全国,102.5,0.025,-0.001,103.8
18878,2020-06,701002,城市,102.2,0.022,-0.001,103.6
18879,2020-06,701003,农村,103.2,0.032,0.0,104.7
20797,2020-07,701001,全国,102.7,0.027,0.006,103.7
20798,2020-07,701002,城市,102.4,0.024,0.006,103.4
20799,2020-07,701003,农村,103.7,0.037,0.008,104.5
22597,2020-08,701001,全国,102.4,0.024,0.004,103.5
22598,2020-08,701002,城市,102.1,0.021,0.004,103.2
22599,2020-08,701003,农村,103.2,0.032,0.004,104.4
24757,2020-09,701001,全国,101.7,0.017,0.002,103.3
24758,2020-09,701002,城市,101.6,0.016,0.002,103.1
24759,2020-09,701003,农村,102.1,0.021,0.002,104.1
24877,2020-11,701001,全国,99.5,-0.005,-0.006,102.7
24878,2020-11,701002,城市,99.6,-0.004,-0.006,102.5
24879,2020-11,701003,农村,99.2,-0.008,-0.006,103.3
24880,2020-10,701001,全国,100.5,0.005,-0.003,103.0
24881,2020-10,701002,城市,100.5,0.005,-0.003,102.8
24882,2020-10,701003,农村,100.4,0.004,-0.005,103.7
26077,2020-12,701001,全国,100.2,0.002,0.007,102.5
26078,2020-12,701002,城市,100.2,0.002,0.007,102.3
26079,2020-12,701003,农村,100.2,0.002,0.009,103.0
